,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind
290,Anloga,20,GH,1541826000,88,5.79,0.9,26.0,1.5
291,Jacareacanga,32,BR,1541828543,92,-6.22,-57.76,25.07,0.83
292,Sao Borja,0,BR,1541828544,81,-28.66,-56.0,20.02,2.96
293,Thompson,75,CA,1541826000,78,55.74,-97.86,-13.0,3.1
294,Prince Rupert,90,CA,1541827200,87,54.32,-130.32,8.0,1.5
295,North Platte,1,US,1541825580,69,41.12,-100.77,-9.4,4.6
296,Kipini,48,KE,1541828545,81,-2.53,40.53,27.97,4.73
297,Shagonar,44,RU,1541828545,86,51.54,92.92,-5.03,1.33
298,Nioro,0,GM,1541828545,60,13.79,-15.05,20.97,3.26
299,Daru,56,SL,1541828546,97,7.99,-10.85,21.17,1.06
300,Luanda,80,AO,1541828546,92,-8.83,13.24,24.9,2.38
301,Bonanza,44,NI,1541828547,97,14.03,-84.62,21.57,1.13
302,Laguna,0,MX,1541828547,78,27.52,-110.01,15.37,1.03
303,Ashnak,0,AM,1541826000,93,40.33,43.92,2.0,0.83
304,San Borja,36,BO,1541828548,94,-14.86,-66.75,22.57,0.98
305,Saint-Augustin,90,FR,1541826000,93,44.83,-0.61,12.0,3.1
306,Port-Cartier,90,CA,1541826000,73,50.03,-66.88,-3.0,3.1
307,Bartica,56,GY,1541828549,94,6.41,-58.62,24.92,1.06
308,Klaksvik,100,FO,1541825400,93,62.23,-6.59,9.0,21.1
309,Ugoofaaru,32,MV,1541828549,100,5.67,73.0,28.62,2.13
310,Riyadh,20,SA,1541826000,93,24.63,46.72,18.0,2.1
311,Farafangana,100,MG,1541828550,100,-22.82,47.83,21.82,6.51
312,Yerbogachen,24,RU,1541828550,54,61.28,108.01,-5.26,4.86
313,Bosaso,20,SO,1541826000,88,11.28,49.18,26.0,5.1
314,Basoko,0,CD,1541828551,89,1.23,23.61,24.02,1.78
315,Tilichiki,12,RU,1541828551,84,60.47,166.1,-10.63,3.83
316,Fortuna,0,ES,1541826000,55,38.18,-1.13,16.0,9.8
317,Richmond,90,CA,1541826900,93,49.16,-123.14,7.0,4.6
318,Margate,75,AU,1541827800,45,-43.03,147.26,18.0,5.1
319,Kaeo,0,NZ,1541828553,55,-35.1,173.78,17.15,4.98
320,Borogontsy,0,RU,1541828553,84,62.67,131.17,-14.76,3.18
321,Karpathos,8,GR,1541825400,77,35.51,27.21,17.0,1.0
322,Warragul,0,AU,1541828553,61,-38.16,145.93,18.17,1.73
323,Joshimath,8,IN,1541828554,100,30.57,79.57,-8.73,0.23
324,Rocha,36,UY,1541828554,83,-34.48,-54.34,20.67,2.86
325,Ozernovskiy,56,RU,1541828554,96,51.5,156.52,-0.26,1.83
326,Crailsheim,90,DE,1541826660,100,49.14,10.07,7.0,2.1
327,Boddam,75,GB,1541825400,87,57.47,-1.78,10.0,8.2
328,Thinadhoo,12,MV,1541828555,98,0.53,72.93,29.17,8.06
329,Saint George,75,GR,1541825400,93,39.45,22.34,9.0,3.1
330,Kyzyl-Suu,20,KG,1541828556,100,42.34,78.0,-0.51,2.51
331,Sinnamary,48,GF,1541828556,95,5.38,-52.96,27.32,5.26
332,Beringovskiy,92,RU,1541828556,100,63.05,179.32,1.6,11.71
333,Leon,1,US,1541825700,83,40.74,-93.75,-8.0,4.6
334,Mahebourg,20,MU,1541826000,69,-20.41,57.7,27.0,6.2
335,Padampur,0,IN,1541828557,77,29.71,73.62,24.0,2.71
336,Sangmelima,92,CM,1541828558,99,2.93,11.98,21.67,1.26
337,Kharp,0,RU,1541828558,71,66.82,65.8,-11.51,5.61
338,Aswan,0,EG,1541826000,45,24.09,32.9,19.0,1.5
339,Ambunti,36,PG,1541828559,75,-4.22,142.82,30.27,1.36
340,Abaza,76,RU,1541828559,62,52.65,90.1,-7.68,1.46
341,Ilulissat,0,GL,1541825400,72,69.22,-51.1,-9.0,2.1
342,Fort Abbas,32,PK,1541828559,67,29.19,72.85,24.72,2.13
343,Birao,0,CF,1541828560,38,10.3,22.78,20.17,2.81
344,Lavrentiya,12,RU,1541828560,99,65.58,-170.99,3.5,7.21
345,Dunmore Town,92,BS,1541828560,100,25.5,-76.65,26.4,3.28
346,Norman Wells,20,CA,1541826000,92,65.28,-126.83,-12.0,4.1
347,Ziro,20,IN,1541826000,65,27.54,93.82,25.0,1.0
348,Puerto Escondido,12,MX,1541828561,100,15.86,-97.07,28.85,1.46
349,Los Llanos de Aridane,0,ES,1541826000,77,28.66,-17.92,19.0,4.6
350,Abapo,0,BO,1541828562,80,-18.83,-63.47,19.47,1.43
351,Balkany,90,HU,1541825100,100,47.77,21.86,1.0,1.0
352,Banjar,68,ID,1541828562,79,-7.37,108.54,27.97,1.71
353,Katsuura,20,JP,1541826000,42,33.93,134.5,19.0,9.3
